cd4,cd8b,cd3,cd8
234,177,109,168
216,169,106,193
124,426,295,635
342,242,223,247
230,220,145,303
307,146,121,192
344,302,355,668
296,158,148,155
282,134,332,141
273,153,142,118
118,98,113,226
446,311,370,350
506,336,380,283
111,145,55,279
151,197,107,494
279,84,381,2
271,247,153,212
477,85,431,235
385,344,278,320
133,119,82,206
357,336,320,612
306,293,165,120
75,83,427,515
334,238,217,237
270,181,147,111
346,436,385,752
136,106,131,637
288,229,183,85
305,152,93,191
407,259,330,270
308,264,169,243
277,99,288,193
452,173,397,264
282,213,194,223
180,147,84,321
475,298,309,302
274,207,208,195
269,226,164,312
155,35,63,228
414,259,201,158
355,449,356,731
310,319,263,345
361,278,272,688
143,120,71,368
385,360,221,340
272,226,165,168
173,83,132,110
358,307,191,432
301,224,182,162
300,494,333,764
249,171,139,141
272,338,272,643
273,196,31,231
235,205,155,140
276,187,169,148
370,315,198,310
489,164,382,181
314,199,152,195
227,142,12,226
278,187,80,214
340,499,405,737
292,283,208,316
126,99,21,530
288,59,337,157
326,232,154,188
323,197,176,270
343,262,175,251
298,247,187,332
256,293,225,261
353,290,243,253
73,7,80,206
240,240,50,590
501,183,516,186
330,304,189,276
150,144,46,532
256,170,46,128
143,463,322,655
231,139,160,170
331,261,232,305
247,138,68,186
288,195,147,231
319,260,235,266
192,201,190,166
231,190,110,103
322,198,77,191
303,206,200,202
268,181,20,77
222,194,117,370
374,326,271,309
91,61,69,154
213,204,108,53
310,210,133,123
254,162,195,131
304,207,123,31
263,222,177,146
238,160,9,221
262,180,91,91
249,191,112,126
264,276,291,706
422,253,331,174
496,269,365,244
216,188,41,250
288,196,151,171
118,84,6,265
289,299,364,458
157,24,37,217
195,94,74,52
376,297,236,324
264,177,79,159
173,39,126,153
365,594,462,734
283,205,204,153
117,146,114,268
255,154,156,62
214,204,154,200
277,248,228,301
389,291,230,214
180,123,102,145
259,188,67,171
296,289,230,332
366,339,247,318
366,319,226,253
336,27,247,156
369,322,429,582
36,94,52,486
302,215,240,276
272,205,174,230
272,172,119,170
122,87,90,439
141,170,24,144
257,189,69,155
205,203,152,187
316,281,183,250
464,509,403,771
240,165,160,211
280,205,125,207
439,244,476,160
261,187,91,235
366,284,222,279
138,40,1,161
257,136,99,145
263,256,231,83
198,135,149,142
486,325,317,263
302,185,171,470
185,132,156,172
139,118,7,61
527,357,529,333
435,230,349,158
217,165,92,454
196,177,158,246
250,190,153,201
142,130,96,502
169,112,79,488
369,130,273,267
299,193,166,146
192,437,408,635
310,249,213,551
305,51,301,196
387,252,300,481
198,85,64,127
250,137,67,139
206,136,29,277
238,210,144,296
301,271,163,287
233,150,74,157
322,196,181,210
316,151,174,257
40,424,278,728
186,57,25,502
180,63,88,246
354,195,152,160
436,473,404,778
315,213,186,305
323,275,225,272
305,88,333,142
309,171,124,172
249,196,78,161
280,200,111,206
232,323,146,195
230,166,196,215
134,443,401,652
378,57,283,168
233,137,85,81
208,69,95,148
269,164,212,168
168,146,30,232
252,175,98,145
402,83,308,218
250,228,151,292
247,221,152,222
378,309,249,298
384,367,434,699
267,195,111,200
291,204,168,179
172,134,99,172
253,190,56,168
261,215,181,100
335,179,109,200
130,92,111,302
238,145,135,229
327,284,255,326
107,98,56,445
285,139,106,207
304,217,258,197
313,153,48,166
166,70,14,193
264,242,186,220
195,216,122,129
273,165,93,177
557,315,468,336
172,105,48,241
265,119,216,213
471,466,415,671
328,182,398,221
207,120,107,112
255,245,182,114
460,398,406,376
344,254,164,236
398,429,312,676
391,376,300,247
309,163,182,187
245,402,263,627
264,238,148,241
162,100,173,745
359,312,199,269
256,197,75,146
284,224,110,250
269,210,179,123
265,224,221,442
271,228,201,266
211,202,34,135
270,179,147,160
280,58,116,140
338,463,381,611
315,302,246,332
316,272,224,233
312,260,181,247
151,107,3,509
134,319,83,142
227,221,157,192
258,254,164,323
404,292,250,276
248,174,95,197
140,58,81,178
312,268,164,195
340,313,218,247
441,254,386,262
302,210,115,217
268,113,73,25
306,257,223,545
129,383,178,638
306,231,111,189
249,226,130,271
366,314,256,352
305,486,341,672
197,487,362,665
297,235,171,435
219,168,112,83
31,95,315,127
353,235,137,297
360,476,347,751
66,314,343,645
181,123,62,143
211,210,151,196
254,200,130,231
122,118,35,549
237,166,144,173
382,275,205,287
208,174,146,212
382,461,314,701
247,236,104,277
273,188,152,259
396,268,178,240
378,470,338,701
320,247,186,373
204,230,180,558
250,178,61,252
252,189,145,262
228,141,130,198
340,237,204,194
127,85,73,308
301,74,224,123
347,270,272,278
302,46,253,3
103,100,60,427
162,206,99,198
477,377,330,372
324,251,172,185
252,228,153,201
288,117,124,256
132,103,130,404
226,117,114,132
259,209,182,236
91,287,89,568
238,202,171,192
282,152,36,244
269,174,151,192
299,240,214,113
185,143,142,45
97,301,225,675
311,491,333,769
286,248,186,169
322,245,243,277
339,356,360,642
235,78,207,170
269,226,134,229
245,98,24,166
235,168,172,125
217,151,222,178
325,99,215,175
96,101,447,557
351,219,198,134
107,319,228,626
491,370,433,363
296,151,77,162
271,226,193,281
196,192,181,173
345,224,388,469
264,165,118,78
268,219,136,189
234,203,152,167
378,471,435,784
134,165,125,545
353,228,161,183
248,213,188,129
231,184,150,252
236,167,160,175
235,168,68,77
298,147,278,197
517,316,425,441
293,222,129,264
375,277,267,254
274,228,187,191
103,293,103,604
468,371,432,657
472,462,405,732
121,54,73,117
312,249,200,233
288,215,104,248
263,219,139,275
206,163,72,225
342,304,229,293
253,159,109,197
175,51,99,375
279,271,155,278
322,242,125,215
207,94,109,167
333,261,213,288
274,214,187,236
322,137,133,166
101,401,280,623
175,167,69,446
291,246,88,120
350,500,358,724
252,177,147,107
376,328,267,318
315,184,109,262
168,114,100,372
261,214,188,184
186,124,96,79
158,178,36,154
237,183,41,120
237,146,138,133
331,174,331,190
242,129,72,195
226,149,173,202
421,357,313,307
184,133,118,406
360,255,154,175
336,261,161,272
136,90,109,47
140,77,48,318
253,209,112,223
166,148,362,572
276,231,109,154
288,227,220,210
324,141,215,97
132,267,368,583
282,211,154,253
291,230,168,176
259,235,181,77
239,208,92,239
276,225,161,569
318,242,183,281
329,268,150,243
244,139,448,99
114,167,29,504
313,123,199,228
267,131,136,226
413,3,387,245
304,252,218,242
341,250,211,265
285,206,154,433
247,233,206,125
299,152,205,192
487,487,439,782
260,242,192,260
217,73,118,83
283,237,159,227
275,203,140,212
153,83,285,307
206,114,36,147
309,214,85,222
140,92,90,240
248,204,139,241
239,149,84,250
228,58,104,182
242,5,191,77
202,192,94,224
304,229,162,137
211,171,43,204
283,198,48,192
159,14,59,616
262,212,144,160
309,235,379,179
200,126,86,177
399,338,296,337
280,153,142,25
340,325,239,361
256,214,153,356
379,133,272,71
89,282,249,592
246,115,121,164
146,73,64,532
266,199,174,278
263,207,227,115
245,173,190,161
245,202,101,147
274,212,89,262
465,116,456,165
228,122,127,217
272,267,190,254
125,82,126,65
234,243,138,486
285,216,179,186
323,184,98,272
148,141,25,267
202,123,96,110
102,57,58,179
219,142,105,122
562,526,469,770
285,220,188,247
245,175,127,153
319,247,168,233
306,230,160,172
294,162,122,148
274,163,315,121
277,154,108,316
38,3,17,422
297,234,161,385
310,193,170,116
281,233,187,319
213,162,168,2
194,223,203,45
236,172,76,3
250,218,112,236
472,277,298,229
397,351,252,301
218,203,295,86
244,139,29,173
137,52,116,226
259,64,220,194
131,37,156,125
259,156,176,198
426,149,418,145
459,521,445,745
271,281,325,594
121,11,52,584
129,166,64,126
287,109,222,207
133,109,66,254
285,258,101,262
216,211,134,190
338,215,197,92
240,150,183,235
335,288,234,251
267,168,98,178
230,214,44,226
223,102,109,206
298,191,66,253
109,104,41,140
189,195,195,187
242,196,219,35
66,26,354,143
228,161,81,7
277,215,172,268
279,99,257,126
350,488,380,739
487,423,346,378
176,136,7,100
254,217,183,261
313,488,358,694
325,184,328,144
270,281,355,670
294,225,137,231
212,224,90,145
168,402,279,705
300,230,189,205
289,254,218,191
325,457,361,663
266,146,100,190
431,363,332,440
245,101,184,57
261,222,125,629
237,198,91,271
280,172,360,296
468,51,473,200
192,189,122,73
280,204,176,226
161,109,74,199
414,66,407,238
373,282,263,337
284,172,139,193
276,208,151,245
278,177,93,197
203,216,108,148
351,114,330,187
279,205,140,163
317,159,193,112
201,173,119,258
139,29,68,498
306,197,237,264
325,201,206,146
264,138,108,138
293,200,185,216
216,94,189,229
181,158,97,223
318,191,73,144
259,217,193,191
286,168,122,149
203,180,61,171
266,105,243,142
150,88,38,469
74,35,71,41
315,260,231,253
289,450,311,659
171,116,4,495
251,170,80,169
191,47,53,209
286,229,175,134
119,32,419,12
244,126,68,211
252,193,146,238
291,214,183,288
441,220,284,257
311,250,198,320
276,262,243,271
108,103,246,539
287,224,213,230
412,350,351,351
110,285,159,591
62,118,106,341
136,153,46,302
236,241,234,163
318,264,138,297
468,223,315,263
234,151,108,241
250,170,169,179
268,268,202,335
306,233,224,253
271,240,214,290
270,231,148,237
431,276,379,260
431,2,341,211
305,200,33,178
129,150,280,644
226,176,197,311
372,282,374,314
269,216,146,213
175,69,113,104
265,154,47,205
235,445,373,767
94,110,19,590
243,140,45,134
299,244,120,199
217,118,50,146
203,478,432,674
197,150,177,225
250,139,168,109
277,188,55,202
330,196,146,199
237,135,156,154
288,163,117,132
293,212,127,283
91,270,215,595
268,204,170,196
172,183,120,141
174,96,148,236
258,261,211,656
304,228,92,266
261,143,199,217
200,113,44,272
321,281,184,303
407,302,232,314
263,216,179,193
259,205,110,276
242,370,306,621
319,233,244,290
254,195,217,243
355,281,246,213
319,230,98,170
120,145,93,454
317,156,101,173
284,48,232,257
241,172,119,117
324,151,384,235
174,53,32,279
149,64,308,137
134,287,265,653
224,127,56,214
254,215,83,270
152,73,69,188
146,103,18,468
172,152,130,172
175,144,104,231
82,315,205,677
246,190,24,153
317,192,155,229
275,220,176,223
219,172,119,230
252,167,128,205
233,183,81,251
306,182,136,371
189,184,79,108
280,213,77,153
107,148,65,314
106,54,26,451
370,219,160,133
228,183,118,181
223,209,146,144
258,215,60,152
277,186,146,286
308,282,243,252
277,212,184,211
265,172,103,219
275,144,153,16
252,146,101,221
196,178,6,298
173,129,135,235
170,415,170,615
292,167,2,187
198,138,18,299
408,318,289,324
292,237,173,236
35,85,108,255
240,218,110,255
282,196,168,63
280,197,107,320
263,205,142,262
273,139,43,255
214,42,210,21
292,84,96,162
251,201,153,128
167,105,101,92
315,172,168,208
268,186,136,172
104,87,52,111
127,83,522,469
83,322,423,602
104,96,144,277
291,239,185,137
333,47,294,142
159,101,96,373
193,114,1,77
365,273,199,251
314,177,176,242
237,54,155,111
267,223,185,233
206,182,91,270
283,258,217,224
304,180,146,201
50,278,77,602
350,464,316,679
356,337,239,337
263,118,164,141
273,213,106,222
199,174,177,74
428,228,362,112
298,173,219,141
205,191,53,234
180,170,63,94
234,175,49,11
297,230,178,409
140,9,18,338
241,234,66,89
237,134,42,254
337,239,233,456
317,148,93,108
337,188,143,175
319,230,160,230
277,232,221,222
389,315,278,354
232,166,114,95
335,75,232,32
147,138,420,701
125,67,105,379
101,186,107,243
74,89,9,481
196,176,86,172
413,438,369,678
271,192,117,145
238,207,99,290
260,154,172,207
243,193,47,132
230,174,34,217
246,174,155,65
320,171,109,193
331,304,245,175
286,197,163,223
245,209,167,197
247,176,98,215
305,28,271,198
114,41,35,217
452,279,393,518
345,304,214,316
73,85,58,61
287,165,67,198
300,241,321,199
127,111,112,423
299,217,151,247
140,114,82,524
246,176,154,224
160,159,35,519
182,183,51,185
271,202,160,265
322,256,236,208
61,91,49,267
189,90,6,185
254,210,101,293
236,38,133,183
340,284,223,349
415,244,298,226
262,174,162,139
221,234,43,191
267,184,219,156
192,142,94,22
162,93,5,500
191,189,178,262
251,199,139,101
279,257,231,370
250,205,136,216
124,104,99,81
287,185,165,98
208,134,151,90
317,106,139,153
202,208,141,36
181,250,99,590
204,101,162,162
229,193,146,207
245,165,115,145
221,267,31,150
258,133,322,187
310,89,179,194
154,128,69,248
183,52,29,527
395,316,241,318
365,285,152,321
241,214,167,212
307,311,210,289
251,222,144,166
275,480,398,708
260,244,224,436
228,204,97,225
258,243,145,312
203,207,115,190
274,119,64,113
244,185,75,62
258,160,119,196
320,204,185,217
337,279,241,239
189,176,56,258
366,157,256,197
325,251,218,266
274,145,163,109
239,153,129,172
233,163,129,221
372,72,343,18
264,57,216,153
224,210,180,417
