"cd4","cd8b","cd3","cd8","leaf.code","cluster.id","in.core"
173,133,154,9,66,2,0
476,379,391,530,6,8,0
345,286,193,316,66,2,0
269,189,78,119,32,1,0
363,350,262,319,17,7,0
265,211,177,250,66,2,1
286,191,165,168,66,2,0
129,83,368,462,5,6,0
289,157,151,81,66,2,0
388,285,215,281,17,7,0
426,261,188,284,17,7,0
259,215,115,338,32,1,0
305,383,350,687,6,8,1
509,471,612,660,6,8,0
278,211,183,148,67,4,0
263,158,97,66,32,1,0
409,301,279,289,17,7,0
278,182,161,145,67,4,1
441,250,377,233,17,7,0
472,403,350,391,17,7,0
156,55,46,115,32,1,0
434,376,334,426,17,7,0
344,369,416,194,17,7,0
237,169,98,60,32,1,0
355,295,232,307,17,7,1
444,375,353,706,6,8,0
234,71,217,170,66,2,0
270,283,494,180,67,4,0
372,261,252,204,66,2,0
557,622,512,805,6,8,0
198,165,140,245,32,1,0
285,240,179,228,67,4,0
267,171,83,343,32,1,0
381,333,247,360,17,7,0
365,334,247,315,17,7,0
342,225,147,288,66,2,0
215,235,111,176,32,1,0
272,192,180,129,67,4,0
264,149,134,141,66,2,0
300,308,237,358,66,2,0
343,292,123,284,17,7,0
445,389,320,447,17,7,0
550,377,434,291,17,7,0
294,203,123,196,66,2,0
408,380,262,603,6,8,0
521,586,508,817,6,8,0
505,400,473,552,6,8,0
479,447,482,755,6,8,0
429,345,294,355,17,7,0
481,439,424,625,6,8,1
519,507,482,726,6,8,0
448,426,355,716,6,8,1
432,375,479,348,17,7,0
268,272,122,322,32,1,0
276,225,148,226,32,1,1
349,374,284,741,6,8,0
232,201,180,323,66,2,0
261,351,249,630,6,8,1
336,220,253,248,66,2,0
313,276,188,258,32,1,0
303,379,282,655,6,8,1
247,209,192,210,67,4,0
349,254,150,267,17,7,0
561,339,493,388,17,7,0
617,299,580,186,17,7,0
393,455,359,738,6,8,1
396,346,292,324,17,7,1
325,313,248,278,67,4,0
327,262,223,246,66,2,0
320,278,128,246,17,7,0
183,156,84,155,32,1,0
477,390,315,382,17,7,0
258,253,99,186,32,1,0
365,260,222,208,66,2,0
463,472,424,675,6,8,1
326,152,151,157,66,2,0
350,271,246,360,17,7,0
438,371,340,705,6,8,0
232,164,166,131,66,2,0
292,221,160,162,66,2,0
128,6,16,183,32,1,0
330,287,218,382,17,7,0
239,148,50,64,32,1,0
387,368,261,410,17,7,0
242,147,162,210,66,2,0
452,375,327,355,17,7,0
353,197,200,195,66,2,0
358,251,159,178,66,2,0
418,343,274,333,17,7,0
330,302,166,307,17,7,0
87,20,61,568,5,6,0
94,60,49,9,32,1,0
207,141,80,62,32,1,0
442,404,329,374,17,7,0
460,398,369,388,17,7,0
336,315,252,328,66,2,0
191,178,111,211,32,1,0
386,335,274,338,17,7,1
417,439,295,722,6,8,0
327,491,376,658,6,8,1
394,304,249,340,17,7,0
334,61,283,184,9,3,1
310,295,236,310,66,2,0
225,107,127,231,32,1,0
407,327,294,339,17,7,0
235,159,103,76,32,1,0
432,491,404,762,6,8,1
409,314,249,335,17,7,0
312,301,232,343,66,2,0
470,525,468,736,6,8,1
548,383,505,676,6,8,0
331,265,227,253,66,2,0
496,332,443,279,17,7,0
431,364,448,332,17,7,0
363,341,271,389,17,7,0
572,359,501,315,17,7,0
282,248,178,265,32,1,0
215,112,106,85,32,1,0
413,355,383,412,17,7,0
418,492,418,752,6,8,1
241,189,138,181,32,1,1
336,389,320,253,17,7,0
341,308,561,290,17,7,0
318,422,271,645,6,8,1
512,390,414,303,17,7,0
475,5,426,152,9,3,0
376,298,271,261,17,7,0
351,445,356,696,6,8,1
426,339,288,437,17,7,0
475,227,348,227,17,7,0
346,275,211,258,17,7,1
394,367,313,280,17,7,0
362,256,139,270,66,2,0
303,257,235,207,67,4,0
275,101,124,187,32,1,0
375,337,264,292,17,7,0
315,184,201,117,67,4,0
448,429,349,631,6,8,1
399,263,534,367,17,7,0
491,305,397,298,17,7,0
420,300,264,301,17,7,0
484,461,405,708,6,8,1
346,391,272,634,6,8,1
327,377,153,628,6,8,0
419,454,340,699,6,8,1
394,286,276,292,17,7,0
125,106,100,544,5,6,0
521,499,505,770,6,8,0
234,146,62,193,32,1,0
302,277,185,295,66,2,0
363,316,285,584,6,8,0
434,377,401,759,6,8,0
459,336,410,361,17,7,0
500,218,363,251,17,7,0
403,506,435,716,6,8,1
505,319,454,214,17,7,0
451,289,316,493,17,7,0
148,115,101,378,5,6,1
236,234,164,601,5,6,0
239,197,110,149,32,1,0
334,271,228,266,66,2,0
220,220,145,230,32,1,0
451,512,453,764,6,8,1
480,302,366,295,17,7,0
226,195,126,214,32,1,1
384,249,383,302,17,7,0
345,417,316,718,6,8,1
567,473,525,661,6,8,0
250,182,168,174,67,4,0
283,235,186,198,67,4,0
485,291,465,194,17,7,0
343,284,238,266,66,2,0
376,499,384,736,6,8,1
430,503,332,714,6,8,0
224,169,103,216,32,1,1
211,149,188,127,66,2,0
326,242,241,144,66,2,0
321,309,258,262,67,4,0
408,318,242,297,17,7,0
281,215,121,218,32,1,0
75,388,304,620,7,5,1
408,126,296,88,9,3,0
207,195,24,227,32,1,0
230,225,225,493,66,2,0
306,211,151,244,66,2,0
333,418,275,715,6,8,1
407,332,303,320,17,7,0
515,483,454,620,6,8,1
375,381,308,564,6,8,0
267,231,204,214,67,4,0
421,317,471,392,17,7,0
244,238,198,288,66,2,0
353,443,351,774,6,8,1
288,378,256,550,6,8,0
434,290,297,273,17,7,0
366,291,267,273,17,7,0
248,179,143,58,66,2,0
467,363,281,342,17,7,0
107,88,87,331,32,1,0
547,555,469,727,6,8,0
309,206,191,282,66,2,0
57,431,347,627,7,5,0
383,268,232,346,17,7,0
536,370,431,362,17,7,0
506,354,443,285,17,7,0
467,615,522,810,6,8,0
204,95,8,176,32,1,0
479,512,399,675,6,8,1
555,364,466,294,17,7,0
431,552,459,808,6,8,1
467,383,338,395,17,7,0
100,89,62,557,5,6,1
42,87,76,304,32,1,0
519,427,451,656,6,8,1
230,234,207,314,66,2,0
256,102,137,251,32,1,0
205,247,48,592,5,6,0
334,291,211,339,66,2,0
291,278,226,268,67,4,0
291,265,196,283,66,2,0
297,348,257,625,6,8,1
257,207,98,478,32,1,0
75,118,21,315,5,6,0
501,329,380,255,17,7,0
521,594,536,752,6,8,0
247,124,143,67,66,2,0
362,199,341,258,9,3,0
296,225,208,293,66,2,0
268,388,278,618,6,8,1
131,38,360,194,9,3,0
333,269,165,303,66,2,0
465,312,402,326,17,7,0
129,282,364,742,7,5,0
324,162,172,240,66,2,0
495,292,523,217,17,7,0
363,381,255,426,17,7,0
333,265,227,284,66,2,0
506,557,486,768,6,8,0
285,224,126,198,32,1,0
455,349,233,324,17,7,0
357,294,209,299,17,7,0
409,321,271,252,17,7,0
439,377,311,319,17,7,0
117,28,103,271,32,1,0
233,183,193,100,67,4,0
222,129,27,130,32,1,0
257,249,145,202,67,4,0
315,446,305,658,6,8,1
411,357,416,326,17,7,0
381,453,325,666,6,8,1
415,357,248,370,17,7,0
321,242,181,272,17,7,1
442,426,330,655,6,8,1
100,187,176,587,5,6,0
473,376,363,331,17,7,0
268,209,114,190,32,1,1
388,406,344,717,6,8,1
429,364,264,346,17,7,0
80,10,80,62,32,1,0
449,635,563,756,6,8,0
401,330,294,324,17,7,0
466,366,424,678,6,8,0
383,449,368,748,6,8,1
303,203,200,268,66,2,0
399,241,220,265,17,7,0
329,334,280,443,17,7,0
361,284,236,339,17,7,0
331,475,347,697,6,8,1
151,24,101,206,32,1,0
299,138,362,201,9,3,0
283,198,118,246,32,1,0
438,319,283,316,17,7,0
246,214,68,350,32,1,0
63,35,345,188,9,3,0
254,203,86,169,32,1,0
512,545,492,815,6,8,0
203,151,56,140,32,1,0
371,297,208,302,17,7,0
415,460,423,621,6,8,1
327,229,40,257,32,1,0
389,292,256,314,17,7,0
346,310,234,283,17,7,0
239,218,390,251,9,3,0
321,275,204,307,66,2,0
135,310,275,600,7,5,1
477,460,446,660,6,8,1
399,279,208,256,17,7,0
322,281,137,316,32,1,0
537,408,418,360,17,7,0
309,282,223,289,66,2,0
382,471,459,556,6,8,0
102,43,29,401,5,6,1
241,175,148,155,66,2,0
384,319,209,642,6,8,0
376,280,138,257,17,7,0
228,109,140,12,66,2,0
132,145,162,630,5,6,0
122,139,50,474,5,6,1
175,169,96,563,5,6,1
293,271,161,301,32,1,0
383,450,354,656,6,8,1
258,371,250,625,6,8,1
300,242,207,199,67,4,0
266,234,184,226,67,4,1
256,196,88,222,32,1,0
483,470,355,707,6,8,0
327,274,234,159,67,4,0
450,405,423,713,6,8,0
373,320,259,320,17,7,1
259,242,153,238,32,1,0
323,156,88,204,32,1,0
351,370,303,617,6,8,1
378,496,455,600,6,8,0
370,449,358,761,6,8,1
398,312,235,405,17,7,0
472,325,317,346,17,7,0
233,69,150,226,32,1,0
402,270,398,285,17,7,0
360,183,296,273,9,3,0
313,285,204,315,66,2,0
129,94,15,212,32,1,0
158,155,79,201,32,1,0
360,292,223,436,17,7,0
384,394,364,525,17,7,0
222,163,157,189,32,1,0
332,305,236,246,66,2,0
285,171,204,188,67,4,0
269,240,172,238,67,4,0
388,229,370,244,17,7,0
190,188,89,189,32,1,0
169,209,172,275,32,1,0
137,184,116,521,5,6,0
395,554,475,752,6,8,0
311,205,133,189,66,2,0
276,437,231,630,6,8,0
427,281,362,191,17,7,0
338,298,254,287,17,7,0
233,181,145,139,66,2,0
329,280,154,271,17,7,0
310,301,220,337,66,2,0
473,362,370,306,17,7,0
406,368,334,439,17,7,0
486,352,419,316,17,7,0
314,248,210,181,67,4,0
302,128,120,239,32,1,0
305,257,77,247,32,1,0
283,184,196,263,66,2,0
524,572,522,702,6,8,0
436,446,332,673,6,8,1
284,216,439,250,9,3,0
244,177,93,118,32,1,0
278,243,190,247,67,4,1
225,108,93,232,32,1,0
330,202,225,235,66,2,0
239,177,119,198,32,1,1
143,421,288,645,7,5,1
276,168,98,242,32,1,0
339,263,183,284,66,2,0
211,155,91,202,32,1,0
243,182,145,236,66,2,0
274,204,163,36,66,2,0
265,160,121,240,32,1,0
370,312,283,337,17,7,0
342,433,360,705,6,8,1
519,494,453,646,6,8,1
235,216,190,99,67,4,0
431,325,238,294,17,7,0
310,278,222,285,66,2,0
328,233,167,237,66,2,1
292,168,107,229,32,1,0
317,261,166,262,17,7,1
374,371,271,429,17,7,0
315,262,225,272,66,2,0
469,200,457,307,17,7,0
127,134,28,651,5,6,0
424,390,349,212,17,7,0
464,354,367,351,17,7,0
430,62,388,1,9,3,0
315,196,194,605,6,8,0
381,427,304,644,6,8,1
387,297,251,287,17,7,1
356,331,264,409,17,7,0
342,285,246,234,66,2,0
399,298,142,283,66,2,0
501,361,446,353,17,7,0
311,281,201,285,66,2,0
184,163,66,372,32,1,0
361,265,213,248,17,7,0
269,235,123,189,32,1,0
167,100,28,649,5,6,0
462,447,392,655,6,8,1
289,170,47,255,32,1,0
78,74,33,158,32,1,0
226,134,124,243,32,1,0
478,370,410,353,17,7,0
343,350,313,615,6,8,1
307,276,191,277,66,2,0
103,282,308,653,7,5,0
401,382,299,294,17,7,0
360,398,331,648,6,8,1
220,59,266,135,9,3,1
419,285,316,645,6,8,0
315,243,226,255,66,2,0
234,163,179,165,67,4,0
232,237,176,278,67,4,0
364,278,166,291,66,2,0
241,242,153,206,67,4,0
290,263,64,237,32,1,0
462,314,509,707,6,8,0
375,320,264,320,17,7,1
311,78,287,188,9,3,1
353,466,308,693,6,8,1
428,51,476,161,9,3,0
459,340,363,314,17,7,0
315,304,284,14,67,4,0
361,238,201,258,66,2,0
345,481,364,734,6,8,1
311,152,212,559,17,7,0
334,175,155,244,66,2,0
344,265,210,296,66,2,0
398,355,290,410,17,7,0
365,308,259,337,17,7,1
290,195,172,201,66,2,0
269,216,43,150,32,1,0
356,251,151,249,66,2,0
549,421,438,463,17,7,0
280,229,222,264,66,2,0
402,348,261,383,17,7,0
280,213,99,247,32,1,0
242,127,133,221,32,1,0
295,227,159,260,32,1,0
393,280,266,252,17,7,0
151,109,4,248,32,1,0
131,104,14,188,32,1,0
285,181,145,229,66,2,0
401,39,320,213,9,3,0
268,183,124,202,32,1,0
138,150,381,407,5,6,0
229,208,170,213,67,4,1
364,126,335,144,9,3,1
247,193,246,173,67,4,0
299,194,174,112,67,4,0
487,298,418,251,17,7,0
397,278,256,366,17,7,0
324,262,171,255,17,7,1
330,270,224,265,66,2,0
270,245,165,58,32,1,0
321,292,244,296,66,2,0
439,354,269,371,17,7,0
108,332,59,430,5,6,0
454,394,347,428,17,7,0
355,218,334,587,6,8,0
164,148,75,523,5,6,1
258,232,200,78,67,4,0
429,482,414,681,6,8,1
483,367,371,430,17,7,0
479,447,501,632,6,8,0
333,389,309,669,6,8,1
165,40,76,295,32,1,0
319,263,230,300,66,2,0
379,549,405,787,6,8,1
397,555,406,839,6,8,1
217,139,146,184,32,1,0
277,121,125,246,32,1,0
277,225,172,285,32,1,0
374,325,319,527,17,7,0
248,220,189,374,32,1,0
265,227,150,64,32,1,0
221,135,110,149,32,1,0
221,198,123,230,32,1,1
407,300,234,273,17,7,0
210,151,120,260,32,1,0
246,127,143,257,32,1,0
142,317,239,700,7,5,0
438,42,351,225,9,3,0
378,143,304,198,9,3,1
282,213,166,292,66,2,0
437,244,394,270,17,7,0
234,194,218,245,67,4,0
167,55,30,368,5,6,0
345,274,200,257,17,7,1
227,202,131,100,32,1,0
237,196,102,130,32,1,1
464,388,376,434,17,7,0
140,141,16,406,5,6,0
274,83,155,133,66,2,0
338,268,265,287,66,2,0
281,235,203,170,67,4,0
297,152,90,155,32,1,0
215,72,179,109,66,2,0
290,301,230,225,67,4,0
490,354,395,292,17,7,0
257,219,92,190,32,1,0
306,164,155,201,66,2,0
154,147,137,248,32,1,0
318,267,172,553,6,8,0
267,148,157,177,66,2,0
313,255,165,310,32,1,0
485,422,414,638,6,8,1
316,258,261,311,66,2,0
178,184,123,214,32,1,0
213,144,112,44,32,1,0
276,144,26,109,32,1,0
419,315,229,292,17,7,0
166,55,22,458,5,6,1
494,448,520,610,6,8,0
270,179,131,119,66,2,0
257,192,91,234,32,1,0
289,228,163,284,32,1,0
359,281,207,181,66,2,0
261,105,213,235,66,2,0
268,221,113,293,32,1,0
254,95,151,176,32,1,0
321,240,166,281,17,7,0
96,83,62,465,5,6,1
246,207,33,157,32,1,0
468,495,423,629,6,8,1
187,130,105,630,5,6,0
471,214,368,268,17,7,0
275,219,199,235,66,2,0
228,165,44,203,32,1,0
489,391,441,638,6,8,0
414,283,160,331,17,7,0
364,160,414,195,9,3,0
365,290,156,385,66,2,0
392,293,230,317,17,7,0
297,254,172,246,32,1,0
291,257,235,238,67,4,0
273,276,208,237,67,4,0
229,405,225,674,7,5,0
435,481,332,724,6,8,1
286,255,192,253,67,4,0
360,488,375,665,6,8,1
415,353,329,410,17,7,0
229,141,154,197,32,1,0
248,182,181,176,67,4,0
307,275,241,312,66,2,0
278,222,156,256,32,1,1
242,51,67,172,32,1,0
239,192,156,200,67,4,0
293,208,128,413,32,1,0
398,169,345,600,6,8,0
251,184,117,100,66,2,0
280,273,242,375,66,2,0
294,251,220,387,66,2,0
210,157,150,116,66,2,0
275,282,149,626,7,5,0
331,206,275,259,66,2,0
309,201,204,315,66,2,0
320,203,47,190,32,1,0
241,145,125,74,66,2,0
523,381,447,381,17,7,0
80,15,46,263,32,1,0
286,155,66,7,32,1,0
257,166,155,80,66,2,0
383,272,234,236,17,7,0
140,343,235,618,7,5,1
333,238,194,353,66,2,0
223,124,173,256,66,2,0
409,234,354,278,17,7,0
319,262,200,274,32,1,0
220,189,93,173,32,1,0
292,233,192,245,66,2,1
351,306,260,278,17,7,0
312,235,98,231,66,2,0
259,1,242,84,9,3,0
309,289,322,208,66,2,0
222,198,158,238,67,4,0
450,290,349,291,17,7,0
272,152,116,209,32,1,0
274,214,100,194,32,1,0
260,178,167,241,66,2,0
209,194,84,10,32,1,0
241,157,53,220,32,1,0
276,271,297,345,66,2,0
82,123,149,577,5,6,0
492,329,414,408,17,7,0
129,112,8,152,32,1,0
330,272,206,314,66,2,0
167,213,43,395,32,1,0
169,146,147,353,66,2,0
198,119,110,96,32,1,0
312,271,235,291,66,2,0
481,293,356,303,17,7,0
246,97,88,316,32,1,0
254,184,135,179,66,2,1
307,250,213,252,66,2,0
286,226,154,206,67,4,0
93,93,53,439,5,6,1
445,100,415,195,9,3,0
152,167,93,430,5,6,1
444,416,362,758,6,8,0
263,165,157,230,66,2,0
149,56,18,235,32,1,0
312,283,179,243,66,2,0
131,180,130,262,32,1,0
331,285,282,288,66,2,0
227,190,127,198,32,1,1
435,230,360,256,17,7,0
171,134,104,109,32,1,0
246,215,57,715,5,6,0
318,253,210,282,66,2,0
231,163,111,98,66,2,0
104,29,66,512,5,6,0
234,214,67,250,32,1,0
429,370,454,551,6,8,0
334,294,240,345,66,2,0
149,130,58,182,32,1,0
247,238,124,123,32,1,0
156,96,91,251,32,1,0
257,204,178,207,67,4,0
438,485,385,685,6,8,1
443,399,405,568,6,8,1
208,145,4,33,32,1,0
287,262,197,252,67,4,0
285,214,229,626,6,8,0
272,116,164,205,32,1,0
266,151,198,36,66,2,0
186,122,83,113,32,1,0
300,121,139,203,32,1,0
453,401,415,633,6,8,1
289,240,79,245,32,1,0
316,275,259,299,66,2,0
371,82,295,243,9,3,1
315,168,153,101,66,2,0
169,72,57,362,5,6,1
351,222,221,190,66,2,0
247,207,115,301,32,1,0
285,178,194,262,66,2,0
310,442,351,650,6,8,1
268,249,191,334,66,2,0
247,190,55,228,32,1,0
342,292,190,262,66,2,0
217,32,75,264,32,1,0
351,340,296,320,17,7,0
488,273,456,167,17,7,0
491,174,447,150,17,7,0
204,16,44,146,32,1,0
293,142,316,175,9,3,0
333,271,137,334,32,1,0
276,226,154,224,32,1,1
211,201,143,250,32,1,0
305,185,195,89,67,4,0
252,214,112,53,32,1,0
234,177,109,168,32,1,1
216,169,106,193,32,1,1
124,426,295,635,7,5,1
342,242,223,247,66,2,0
230,220,145,303,32,1,0
307,146,121,192,66,2,0
344,302,355,668,6,8,0
296,158,148,155,66,2,0
282,134,332,141,9,3,0
273,153,142,118,66,2,0
118,98,113,226,32,1,0
446,311,370,350,17,7,0
506,336,380,283,17,7,0
111,145,55,279,32,1,0
151,197,107,494,5,6,1
279,84,381,2,9,3,0
271,247,153,212,67,4,0
477,85,431,235,9,3,0
385,344,278,320,17,7,1
133,119,82,206,32,1,0
357,336,320,612,6,8,1
306,293,165,120,66,2,0
75,83,427,515,7,5,0
334,238,217,237,66,2,0
270,181,147,111,66,2,0
346,436,385,752,6,8,0
136,106,131,637,5,6,0
288,229,183,85,67,4,0
305,152,93,191,32,1,0
407,259,330,270,17,7,0
